source.name,titulo,descripcion,fecha_publicacion
Xataka.com,El debate sobre si es mejor caminar rápido o caminar lento esta zanjado. Al menos si lo que buscamos es nuestra salud,"Caminar es un ejercicio que no solo tiene la ventaja de ayudarnos a mantener una buena salud, también resulta asequible para personas con dificultades para ejercitarse de otras formas por circunstancias como la edad o el ritmo de vida. Sin embargo un viejo de…",2025-07-13 16:30:52+00:00
Hipertextual,6 consejos para viajar en avión y evitar volver a casa enfermo,"Enfermar al viajar en avión no es nada raro. Al fin y al cabo, pasamos horas de vuelo encerrados en un espacio reducido con otras muchas personas, cada una con sus virus y sus bacterias. Pero ese no es el único motivo. También podemos enfermar, o al menos sen…",2025-07-08 10:49:48+00:00
Wwwhatsnew.com,Ejercicio y salud mental: lo que la ciencia realmente dice sobre sus beneficios,"Durante mucho tiempo se ha repetido la receta casi mágica: si te sientes deprimido o estresado, sal a correr o inscríbete en el gimnasio. Sin embargo, una nueva investigación publicada en Medicine & Science in Sports & Exercise cuestiona esta narrativa simpli…",2025-07-10 02:00:13+00:00
El Mundo,Primeros resultados de bebés nacidos con una tecnología pionera que reduce el riesgo de enfermedades mitocondriales,"Dos estudios publicados en la revista 'New England Journal of Medicine' describen los primeros tratamientos realizados hasta la fecha, de los que han nacido ocho bebés por donación mitocondrial, o la técnica de los tres padres Leer",2025-07-16 21:00:00+00:00
Xataka.com,Los ictus se han convertido un enorme problema de salud silencioso en España. Y hay formas de limitar los riesgos,"Cada año se producen 90.000 casos de ictus en España que dejan en promedio 23.000 fallecidos, según los datos de la Sociedad Española de Neurología. Este número podría reducirse notablemente, al fin y al cabo, muchos de los factores de riesgo que se asocian a…",2025-07-06 15:30:12+00:00
Xataka.com,La sabiduría popular no siempre acierta: los grandes mitos del calor que debemos evitar en verano,"La ola de calor atraviesa su pico durante las jornadas de ayer y hoy, así que mantenerse frescos e hidratados se hace fundamental. Esto no siempre es fácil: a veces la intuición nos engaña, a veces quienes nos llevan al error son los mitos que escuchamos una …",2025-06-30 12:30:12+00:00
Xataka.com,"Un bebé, tres padres: la fecundación 'in vitro' ha dado un sorprendente paso utilizando ADN mitocondrial","Un niño, tres padres. Podría parecer ciencia ficción, pero es ya una realidad. Es una realidad que comenzó hace ya una década, con la aprobación en el Reino Unido de una novedosa técnica que permitía introducir información genética de una tercera persona en u…",2025-07-17 17:31:33+00:00
Muyinteresante.com,La ciencia ya puede medir tu dieta con un simple análisis de sangre y orina: así detectan los efectos de los ultraprocesados,"Tu cuerpo guarda un registro químico de lo que comes. Un nuevo marcador biológico en sangre y orina revela si consumes demasiados ultraprocesados, sin necesidad de reportes dietéticos ni cuestionarios.",2025-07-20 15:08:00+00:00
Wwwhatsnew.com,Cómo el “efecto linterna” de tu móvil está saboteando tu sueño profundo,"¿Te ha pasado? Son las tres de la mañana, bebes un poco de agua y —tic— el pulgar roza el móvil. La pantalla se enciende como un foco de estadio y, de pronto, tus ojos y tu cerebro sienten que vuelve a ser de día. Yo confieso que he caído mil veces en esa ten…",2025-07-22 12:00:12+00:00
Muyinteresante.com,¿Por qué dos personas de la misma edad envejecen de forma tan distinta? Científicos de Stanford tienen la respuesta,"Un nuevo análisis desarrollado por la Universidad de Stanford revela que la edad biológica de nuestros órganos puede predecir enfermedades, longevidad y riesgo de muerte.",2025-07-18 15:06:00+00:00
